ID,City,Latitude,Longitude,Status,Pay
64,Erandwane,18.508777,73.831395,Plumber,600
65,Deccan_Corner,18.514481,73.842253,Plumber,564
66,Nobel_Hospital,18.526026,73.781843,Electrician,544
67,DRDO_Office,18.526381,73.789115,Electrician,322
68,Marido_Colony,18.540145,73.815854,Electrician,687
69,Bahiratwadi,18.535821,73.830171,Electrician,645
70,Lohegaon,18.594382,73.927211,Plumber,564
71,Pune_Airport,18.578875,73.903873,Plumber,456
72,Jailroad_policestation,18.565465,73.894669,Plumber,400
73,Westin_busstop,18.539467,73.903773,Plumber,500
74,Jahangir_nagar,18.520899,73.918783,Plumber,600
75,Hadapsar,18.509997,73.926092,Plumber,564
76,Vitthalnagar,18.555294,73.955599,Electrician,544
77,Kharadigaon,18.548351,73.945074,Electrician,322
78,Mundhwa,18.531879,73.932423,Electrician,687
79,Amanora_mall,18.517928,73.932774,Electrician,645
80,Dhanori,18.597765,73.899355,Plumber,564
81,Lonikand,18.623794,74.030847,Plumber,456
82,Lohegaon,18.594382,73.927211,Plumber,400
83,Dattamandir,18.592101,73.945386,Plumber,500
84,Lifeline_hospital,18.583652,73.990427,Plumber,600
85,Lonikand_policestation,18.619397,74.023141,Plumber,564
86,Pragati_garden,18.580546,73.893488,Plumber,544
87,Kharadi_bypass_policestation,18.572234,73.955274,Plumber,322
88,vitthalwadi,18.602089,74.010629,Plumber,687
89,Alandi,18.676045,73.893922,Plumber,645
90,koregaon_park,18.539588,73.896361,Plumber,564
91,kale_colony,18.667707,73.889959,Plumber,456
92,Rahane_hospital,18.647201,73.880918,Plumber,400
93,Dighi_policestation,18.642859,73.879188,Plumber,500
94,Yerawad,18.554074,73.896702,Plumber,600
95,Bhosari,18.624279,73.854954,Electrician,564
96,Dapodi,18.588436,73.832292,Electrician,544
97,khadaki,18.563534,73.853078,Electrician,322
98,Rajiv_gadhi_hospital,18.545131,73.883529,Electrician,687
99,Nigdi_Flyover,18.659341,73.777503,Electrician,645
100,Tukaram_Gardern,18.651606,73.770827,Electrician,564
101,Akurdi_Chowk,18.650412,73.785332,Plumber,456
102,Milk_Made,18.646552,73.792023,Plumber,400
103,Mahlsakant_Chowk,18.649331,73.776098,Plumber,500
104,Hanuman_Chowk,18.649888,73.781241,Plumber,600
105,Star_Bazar,18.648788,73.786722,Plumber,564
106,Jijanagar,18.645181,73.778147,Electrician,544
107,Ganga_Nagar,18.642762,73.790125,Electrician,322
108,Bhakti_Shakti_Gardern,18.664847,73.770793,Plumber,687
109,Durga_Tekdi,18.672317,73.765104,Plumber,645
110,Radha_Krishna_Mandir,18.677504,73.749065,Plumber,564
111,Chincholi_Road,18.683671,73.745458,Plumber,456
112,Pandharpur_Road,18.678576,73.738581,Plumber,400
113,Datta_Mandir,18.681086,73.729713,Plumber,500
114,Ulhas_Road,18.674399,73.718971,Plumber,600
115,Garrison_Engineer,18.686631,73.740224,Electrician,564
116,Dehuroad_Police_Station,18.686666,73.720983,Plumber,544
117,KM_Park,18.678744,73.724678,Electrician,322
118,Bhairavnath_Mandir,18.674161,73.718191,Electrician,687
119,Force_Motor_Limited,18.655273,73.789317,Plumber,645
120,Thermax_Chowk,18.660494,73.793871,Electrician,564
121,Plantech_Consultants,18.655001,73.802913,Plumber,456
122,Tata_Motors_Pimpri,18.644306,73.818842,Electrician,400
123,Seasons_Banquets,18.647964,73.787426,Plumber,500
124,DTDC_Courier,18.645429,73.789668,Plumber,600
125,Finolex_Pipes,18.646501,73.804039,Plumber,564
126,Moshi,18.679414,73.848946,Electrician,544
127,Ashok_Leyland,18.695361,73.847597,Electrician,322
128,Nanekarwadi,18.754035,73.859351,Electrician,687
129,Saswad,18.347447,74.021838,shef,645
130,wagholi,18.580736,73.978102,shef,564
131,dive,18.381261,74.015832,shef,456
132,fursungi,18.468339,73.960464,Plumber,400
133,malwadi,18.499558,73.939588,Plumber,500
134,Aple_ghar,18.568737,73.949717,Plumber,600
135,hiware,18.357228,74.000173,Electrician,564
136,bhivari,18.389639,73.935974,Electrician,544
137,pune_contonment,18.498511,73.895434,Electrician,322
138,Ramtekadi,18.504511,73.920623,Electrician,687
139,Shivaji_Nagar,18.53082,73.847464,Plumber,645
